BIL,NEGERI,NAMA SYARIKAT,ALAMAT TETAP (SURAT MENYURAT),ALAMAT TEMPAT BERNIAGA,NO.TELEFON BIMBIT / EMEL,TARIKH SIJIL PENGIKTIRAFAN BESS,TARIKH TAMAT PENGIKTIRAFAN BESS,NO. SIRI BESS
817,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. G-3B, TINGKAT BAWAH, SUBPLACE BOULEVARD, PUSAT KORMERSIL VESTLAND, NO.6, JALAN JURUANALISIS U1/35, SEKSYEN U1, SHAH ALAM, 40150 PETALING, SELANGOR",6011-12978767,29/10/2025,28/10/2028,BeB0525090-0/1
818,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","B07/G GARDEN CITY CENTRE, JLN DAGANG
BSR, TAMAN DAGANG, AMPANG, 68000 HULU LANGAT, SELANGOR",6019-3229033,29/10/2025,28/10/2028,BeB0525162-0/1
819,SELANGOR,NASI KANDAR STADIUM SDN. BHD.,"6-2 JALAN DWITASIK, DATARAN DWITASIK, BANDAR SRI PERMAISURI, KUALA LUMPUR, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR","24, JALAN SERI PUTRA 1/5, BANDAR SERI PUTRA, 43000 KAJANG, SELANGOR, KAJANG, 43000 HULU LANGAT, SELANGOR",6016-6202088,29/10/2025,28/10/2028,BeB0825027-0/1
820,SELANGOR,GIMME4FINGERS MALAYSIA SDN. BHD.,"1ST & 2ND FLOOR, NO. 25-29, JALAN BELIA, KUALA LUMPUR, 50350 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA LUMPUR","10, JALAN SERI PUTRA 1/2, BANDAR SERI PUTRA, KAJANG, 43000 HULU LANGAT, SELANGOR",6019-2794190,29/10/2025,28/10/2028,BeB0825060-0/1
821,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","15G JLN PERUBATAN 2, PANDAN INDAH,
55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6012-4691629,29/10/2025,28/10/2028,BeW0325010-0/1
822,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO. 35, JALAN PANDAN JAYA 3/3, PANDAN JAYA, KUALA LUMPUR, 55100 TITIWANGSA,
WILAYAH PERSEKUTUAN KUALA LUMPUR",6011-62204463,29/10/2025,28/10/2028,BeW0325109-0/1
823,SELANGOR,NORHAYATI BINTI SAMAT,"NO 2 JALAN BERNAM 2/7, TAMAN BERNAM BARU, TANJUNG MALIM, 35900 MUALLIM, PERAK","NO 7 KAWASAN REHAT DAN RAWAT PLUS ULU BERNAM (ARAH SELATAN), ULU BERNAM, 35900 HULU SELANGOR, SELANGOR",6012-3706534,24/10/2025,23/10/2028,BeB0522017-1/1
824,SELANGOR,HORSEDALE DEVELOPMENT BERHAD,"42, JALAN CHENDERAI SATU, TAMAN LUCKY, BANGSAR, KUALA LUMPUR, 59100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR","GLENMARIE HOTEL & GOLF RESORT, 1, JALAN USAHAWAN U1/8, SEKSYEN U1, SHAH ALAM, 40250 PETALING, SELANGOR",6016-9640571,16/10/2025,15/10/2028,BeB0825046-0/1
825,SELANGOR,SUPER ACE RESOURCES SDN BHD,"D/A MERCURE HOTEL, LOT PT 91903, JALAN
KONTRAKTOR U1/14, SEKSYEN U1, SHAH ALAM, 40150 PETALING, SELANGOR","D/A MERCURE HOTEL, LOT PT 91903, JALAN
KONTRAKTOR U1/14, SEKSYEN U1, SHAH ALAM, 40150 PETALING, SELANGOR",halal.mklg@outloo k.com,16/10/2025,15/10/2028,BeB0725055-0/1
826,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO.73 (GROUND FLOOR), JALAN BATU LAUT 3, TAMAN INTAN, 41300 KLANG, SELANGOR",6019-3229033,14/10/2025,13/10/2028,BeB0625085-0/1
827,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","KPJ KAJANG SPECIALIST HOSPITAL, JALAN CHERAS, KAMPUNG SUNGAI KANTAN,
KAJANG, 43000 HULU LANGAT, SELANGOR",6017-7928062,14/10/2025,13/10/2028,BeB0525102-0/1
828,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. G-8 (GROUND FLOOR), JALAN 1/2, HILLPARK RESIDENCE, SEKSYEN 1, SEMENYIH, 43500 HULU LANGAT, SELANGOR",6011-12978767,14/10/2025,13/10/2028,BeB0525092-0/1
829,SELANGOR,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN MAYANG, PETALING JAYA, 47301 PETALING,
SELANGOR","NO. 23G, JALAN EMAS 4, TAMAN EMAS, CHERAS, 43200 HULU LANGAT, SELANGOR",6017-5753720,14/10/2025,13/10/2028,BeW0225027-0/1
830,SELANGOR,CHEONG FUN SEDAP ENTERPRISE,"LOT 59 LORONG AMAN 2, KG SRI AMAN
PUCHONG, PUCHONG, 47150 PETALING, SELANGOR","GERAI NO.11, MEDAN SELERA PUCHONG
PERDANA, PUCHONG, 47100 PETALING, SELANGOR",6012-2891853,14/10/2025,13/10/2028,BeB0625007-0/1
831,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. C-15-G, TINGKAT BAWAH, ALAM AVENUE, JALAN SERAI WANGI L 16/L, SEKSYEN 16, SHAH ALAM, 40200 PETALING, SELANGOR",6017-7928062,14/10/2025,13/10/2028,BeB0525101-0/1
832,SELANGOR,HAJRIS F&B SDN. BHD.,"6-2 JALAN DWITASIK, DATARAN DWITASIK, BANDAR SRI PERMAISURI, KUALA LUMPUR, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR","61-G, JLN MEDAN PUSAT 2D, SEKSYEN 9, BANDAR BARU BANGI, 43650 HULU LANGAT, SELANGOR",6016-6202088,14/10/2025,13/10/2028,BeB0825039-0/1
833,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO 1-07, METRO CHERAS, PERSIARAN METRO CHERAS, 43200 HULU LANGAT, SELANGOR",6019-3229033,14/10/2025,13/10/2028,BeB0525165-0/1
834,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO.48G, JALAN 7/7A, SEKSYEN 7, BANDAR
BARU BANGI, 43650 HULU LANGAT, SELANGOR",6017-4767026,14/10/2025,13/10/2028,BeB0525110-0/1
835,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","KIOSK K10 & K11, NO.1, PERSIARAN BANGI
AVENUE, TAMAN BANGI AVENUE, KAJANG, 43000 HULU LANGAT, SELANGOR",6017-4767026,14/10/2025,13/10/2028,BeB0325071-0/1
836,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7 JALAN PENYAJAK U1/45A, HICOM- GLENMARIE INDUSTRIAL PARK, 40150 SHAH ALAM, SHAH ALAM, 40150 PETALING,
SELANGOR","LOT NO. F-G-29, TINGKAT BAWAH, VISTA ALAM, JALAN IKHTISAS, SEKSYEN 14, SHAH ALAM, 40000 PETALING, SELANGOR",6011-51120192,14/10/2025,13/10/2028,BeB0525078-0/1
837,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. 6-G (GROUND FLOOR), JALAN KP 1/2,
TAMAN KAJANG PRIMA, KAJANG, 43000 HULU LANGAT, SELANGOR",6019-3229033,14/10/2025,13/10/2028,BeB0525166-0/1
838,SELANGOR,SHF SERVICES (M) SDN BHD,"SUITE D-07-01, BLOCK D, PLAZA MONT KIARA, NO2. JALAN MONT KIARA, KUALA LUMPUR, 50480 KEPONG, WILAYAH PERSEKUTUAN
KUALA LUMPUR","SRI KDU INTERNATIONAL SCHOOL, SUBANG JAYA, JALAN MP 2, SUBANG JAYA, 47500 PETALING, SELANGOR",6012-2631141,14/10/2025,13/10/2028,BeB0525028-0/1
839,SELANGOR,EXCELLENT YIELD SDN. BHD.,"NO 19 JALAN DENAI SELATAN 4, SOUTHLAKE TERRACES, DESA PARK CITY, KUALA LUMPUR, 52200 TITIWANGSA, WILAYAH PERSEKUTUAN
KUALA LUMPUR","NO 37, JALAN BANDAR RAWANG 10, PUSAT BANDAR RAWANG, RAWANG, 48000 GOMBAK, SELANGOR",6018-2312328,14/10/2025,13/10/2028,BeB0924032-0/1
840,SELANGOR,NORTH POLESTAR ALLIANCE SDN BHD,"NO. 2A-3, JALAN METRO PUDU 2, FRASER BUSINESS PARK, KUALA LUMPUR, 55100 CHERAS, WILAYAH PERSEKUTUAN KUALA
LUMPUR","CAFETERIA AREA, GROUND FLOOR, WISMA SHELL U VILLAGE, JALAN TEKNOKRAT 3, CYBERJAYA, 63000 SEPANG, SELANGOR",6012-7396722,14/10/2025,13/10/2028,BeB0924049-0/1
841,SELANGOR,KUSHELA ENTERPRISE,"17, JALAN TEMPLE BATU CAVES, BATU CAVES,
68100 GOMBAK, SELANGOR","17, JALAN TEMPLE BATU CAVES, BATU CAVES,
68100 GOMBAK, SELANGOR","kushelaenterprice
@gmail.com",14/10/2025,13/10/2028,BeB0224007-0/1
842,SELANGOR,FARM FRESH (AGRO TOURISM) SDN BHD,"FARM FRESH MILK AGRO TOURISM SDN. BHD., LOT PT 533, UPM SERDANG, BAHAGIAN TERNAKAN TAMAN PERTANIAN UNIVERSITI, SERDANG, 43400 SEPANG, SELANGOR","LOT PT533, UPM SERDANG, BAHAGIAN TERNAKAN TAMAN PERTANIAN UNIVERSITI, SERDANG, 43400 SEPANG, SELANGOR",6019-7657571,14/10/2025,13/10/2028,BeB0724034-0/1
843,SELANGOR,RUMPUN SELERA ENTERPRISE,"NO 2 JALAN 2/12 BANDAR BARU SELAYANG, BATU CAVES, 68100 GOMBAK, SELANGOR","NO 2 & 4, JALAN 2/12, BANDAR BARU SELAYANG, BATU CAVES, 68100 GOMBAK,
SELANGOR",6012-3155707,08/10/2025,07/10/2028,BeB0825007-0/1
844,SELANGOR,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN
MAYANG, PETALING JAYA, 47301 PETALING, SELANGOR","NO.17, TINGKAT BAWAH, JALAN 2/10,
BANDAR BARU SELAYANG, BATU CAVES, 68100 GOMBAK, SELANGOR",6017-6889934,08/10/2025,07/10/2028,BeB1025003-0/1
845,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","LOT NO LGC15, LOWER GROUND FLOOR, SUBANG PARADE SS 16, SUBANG JAYA, 47500
PETALING, SELANGOR",6011-12977867,08/10/2025,07/10/2028,BeB0625050-0/1
846,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO. 21 (GF), JALAN KOSAS 1/2, TAMAN KOSAS, AMPANG, 68000 HULU LANGAT, SELANGOR",6012-4691629,30/09/2025,29/09/2028,BeB0325033-0/1
847,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. 47-G, JALAN 3/69, SEKSYEN 3, BANDAR
BARU BANGI, 43650 HULU LANGAT, SELANGOR",6011-62204463,30/09/2025,29/09/2028,BeB0525111-0/1
848,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","1-06 (GROUND FLOOR) VISTA BANGI, JALAN REKO, KAJANG, 43000 HULU LANGAT,
SELANGOR",6011-12978767,30/09/2025,29/09/2028,BeB0525093-0/1
849,SELANGOR,Q MUSIC FOOD & BEVERAGE,"35, JLN SETIA IMPIAN U13/2D, SETIA ALAM, SHAH ALAM, 40170 KLANG, SELANGOR","LOT G45, AEON MALL BUKIT RAJA, PERSIARAN
BUKIT RAJA 2, BANDAR BARU KLANG, KLANG, 41150 KLANG, SELANGOR",6011-16150988,30/09/2025,29/09/2028,BeB0625013-0/1
850,SELANGOR,TCRS RESTAURANT SDN BHD,"LOT 3 & 3A, LORONG TEKNOLOGI A, TAMAN SAINS SELANGOR 1, KOTA DAMANSARA, PETALING JAYA, SELANGOR, PETALING JAYA, 47810 PETALING, SELANGOR","LOT G48, GROUND FLOOR, AEON ANGGUN RAWANG SHOPPING CENTRE, NO.1 PERSIARAN ANGGUN, TAMAN ANGGUN, RAWANG, 48000 GOMBAK, SELANGOR",fosim@thechicken riceshop.com,17/09/2025,16/09/2028,BeB0925023-0/1
851,SELANGOR,MUTUAL EMPIRE SDN. BHD.,"NO.23, JALAN 223 B, SEKSYEN 51A, PETALING JAYA, 46100 PETALING, SELANGOR","NO.41-51, JALAN SS6/12 KELANA JAYA, PETALING JAYA, 47301 PETALING, SELANGOR",6012-9692150,17/09/2025,16/09/2028,BeB0525019-0/1
852,SELANGOR,HORSEDALE DEVELOPMENT BERHAD,"42, JALAN CHENDERAI SATU, TAMAN LUCKY, BANGSAR, KUALA LUMPUR, 59100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR","GLENMARIE HOTEL & GOLF RESORT, 1, JALAN USAHAWAN U1/8, SEKSYEN U1, SHAH ALAM, 40250 PETALING, SELANGOR",6016-9640571,17/09/2025,16/09/2028,BeB0525170-0/1
853,SELANGOR,HORSEDALE DEVELOPMENT BERHAD,"42, JALAN CHENDERAI SATU, TAMAN LUCKY, BANGSAR, KUALA LUMPUR, 59100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR","GLENMARIE HOTEL & GOLF RESORT, 1, JALAN USAHAWAN U1/8, SEKSYEN U1, SHAH ALAM, 40250 PETALING, SELANGOR",6016-9640571,17/09/2025,16/09/2028,BeB0625003-0/1
854,SELANGOR,BERJAYA STARBUCKS COFFEE COMPANY SDN BHD,"LOT 10-04, LEVEL 10, WEST WING,BERJAYA TIMES SQUARE, NO.1,JALAN IMBI, IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR","LOT G62, GROUND FLOOR, KOMPLEX BELI BELAH AEON ANGGUN RAWANG, NO.1, PERSIARAN ANGGUN, TAMAN ANGGUN,
RAWANG, 48000 GOMBAK, SELANGOR",qualityassurance@ starbucks.com.my,12/09/2025,11/09/2028,BeB0925025-0/1
855,SELANGOR,GALAXY RECIPE SDN BHD,"NO 107 JALAN PENDAMAR 27/90, SEKSYEN 27, SHAH ALAM, 40400 PETALING, SELANGOR","LOTUS'S EXTRA KLANG-FC7, NO.1, JALAN BATU
NILAM 6/KS6, BUKIT TINGGI, 41200 KLANG, SELANGOR",admin@skysander s.com,11/09/2025,10/09/2028,BeB0721006-1/1
856,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO.1, JALAN ST 1C/6, MEDAN 88, BBST, SEPANG, 43900 SEPANG, SELANGOR",6011-12978767,11/09/2025,10/09/2028,BeB0525128-0/1
857,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO.16-G, TINGKAT BAWAH, JALAN MURNI 25/61, TAMAN SRI MUDA, SEKSYEN 25, SHAH
ALAM, 40400 KLANG, SELANGOR",6017-7928062,11/09/2025,10/09/2028,BeB0625057-0/1
858,SELANGOR,ENGTEX LEISURE SDN BHD,"LOT 63A, JALAN SEMARAK API, SIERAMAS RESORT HOMES, 47000, SELANGOR","HOTEL MERCURE SELANGOR SELAYANG, NO B G 12, DATARAN EMERALD, JALAN PS 11, PRIMA SELAYANG, BATU CAVES, 68100
GOMBAK, SELANGOR",6016-2127661,11/09/2025,10/09/2028,BeB0525041-0/1
859,SELANGOR,ESPIRA KINRARA SDN. BHD.,"PERDANA KUALA LUMPUR CITY CENTRE, 10 JALAN BINJAI, KUALA LUMPUR, 50450 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR","ESPIRA KINRARA, JALAN KIRARA 6, BANDAR KINRARA, PUCHONG, 47180 PETALING, SELANGOR",6013-2123850,11/09/2025,10/09/2028,BeB0525094-0/1
860,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO G-05, ANDIRA PLACE, JALAN AP 8 BANDAR BUKIT PUCHONG, PUCHONG, 47120 SEPANG,
SELANGOR",6019-3229033,11/09/2025,10/09/2028,BeB0525169-0/1
861,SELANGOR,RESORT VILLA DEVELOPMENT BERHAD,"PUTRAJAYA MARRIOTT HOTEL, IOI RESORT CITY, SEPANG, 62502 SEPANG, SELANGOR","PUTRAJAYA MARRIOTT HOTEL, IOI RESORT CITY, SEPANG UTARA, 62502 SEPANG,
SELANGOR",6019-3910034,11/09/2025,10/09/2028,BeB0825010-0/1
862,SELANGOR,RESORT VILLA DEVELOPMENT BERHAD,"PUTRAJAYA MARRIOTT HOTEL, IOI RESORT CITY, SEPANG, 62502 SEPANG, SELANGOR","PUTRAJAYA MARRIOTT HOTEL, IOI RESORT
CITY, SEPANG UTARA, 62502 SEPANG, SELANGOR",6019-3910034,11/09/2025,10/09/2028,BeB0825011-0/1
863,SELANGOR,RESORT VILLA DEVELOPMENT BERHAD,"PUTRAJAYA MARRIOTT HOTEL, IOI RESORT CITY, SEPANG, 62502 SEPANG, SELANGOR","PUTRAJAYA MARRIOTT HOTEL, IOI RESORT CITY, SEPANG UTARA, 62502 SEPANG,
SELANGOR",6019-3910034,11/09/2025,10/09/2028,BeB0825012-0/1
864,SELANGOR,"SAS EMPIRE
INTERNATIONAL SDN. BHD.","LOT 4277, LORONG TENTERAM, JENDERAM HILIR, DENGKIL, 43800 SEPANG, SELANGOR","C-01-01, JALAN SRI KENARI 12, TAMAN SRI
KENARI, KAJANG, 43000 HULU LANGAT, SELANGOR",6012-2982797,11/09/2025,10/09/2028,BeB0625041-0/1
865,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","LEVEL 1, MAB ACADEMY BUILDING (MABA CAMPUS), JALAN KLIA S5, KLIA SEPANG, 64000
SEPANG, SELANGOR",6011-62204463,11/09/2025,10/09/2028,BeB0325072-0/1
866,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT GK105, GROUND FLOOR, CENTRO MALL, 8, JALAN BATU TIGA LAMA, KAWASAN 16, KLANG, 41300 KLANG, SELANGOR",6011-12978767,11/09/2025,10/09/2028,BeB0725069-0/1
867,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO. 8A (GF), JALAN MM1, TAMAN MYRA MERANTI, PUCHONG, 47120 SEPANG,
SELANGOR",6011-12978767,11/09/2025,10/09/2028,BeB0325049-0/1
868,SELANGOR,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN
PERINDUSTRIAN SUBANG, SUBANG JAYA, 47600 PETALING, SELANGOR","NO. 8, TINGKAT BAWAH, JALAN ANGGERIK
VANILLA S 31/S, KOTA KEMUNING, SEKSYEN 31, SHAH ALAM, 40460 KLANG, SELANGOR",6016-5266848,11/09/2025,10/09/2028,BeB0724049-0/1
869,SELANGOR,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN MAYANG, PETALING JAYA, 47301 PETALING,
SELANGOR","R-G-33, GROUND FLOOR, JALAN SUNSURIA, BELL AVENUE, BANDAR SUNSURIA, SEPANG,
43900 SEPANG, SELANGOR",6017-6889934,11/09/2025,10/09/2028,BeB0824069-0/1
870,SELANGOR,ACCESS LODGE SDN BHD,"NO 1, JALAN SELEGURI, TAMAN CHI LIUNG, KLANG, 41200 KLANG, SELANGOR","NO.10-G, JALAN ANGGERIK VANILLA R31/R,
KOTA KEMUNING, SHAH ALAM, 40460 KLANG, SELANGOR",kotakemuning@sr cc.com.my,11/09/2025,10/09/2028,BeB1024052-0/1
871,SELANGOR,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN
MAYANG, PETALING JAYA, 47301 PETALING, SELANGOR","NO.3-1 JALAN DAMAI 1, TAMAN DAMAI, SUNGAI PELEK, 43950 SEPANG, SELANGOR",6017-6889934,11/09/2025,10/09/2028,BeB1224004-0/1
872,SELANGOR,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN PERINDUSTRIAN SUBANG, SUBANG JAYA, 47600 PETALING, SELANGOR","LOT 49, GROUND FLOOR, KOMPLEKS BELI BELAH AEON, NO. 1, PERSIARAN ANGGUN, TAMAN ANGGUN, RAWANG, 48000 GOMBAK,
SELANGOR",weisun.chan@jdec offee.com,11/09/2025,10/09/2028,BeB0724042-0/1
873,SELANGOR,EMPIRE SUSHI SDN BHD,"NO.5, 5TH FLOOR, BLOCK B, IOI BOULEVARD, JLN KENARI 5, BANDAR PUCHONG JAYA, PUCHONG, 47170 HULU LANGAT, SELANGOR","G03, GROUND FLOOR, AEON RAWANG ANGGUN, NO.1, PERSIARAN ANGGUN, TAMAN AUNGGUN, RAWANG, 48000 GOMBAK,
SELANGOR",6012-6900142,29/08/2025,28/08/2028,BeB0825032-0/1
874,SELANGOR,"DAILY FRESH INTERNATIONAL SDN
BHD","PLO 16, JALAN SR/3, KAWASAN PERINDUSTRIAN SIMPANG RENGGAM 1,
KLUANG, 86200 KLUANG, JOHOR","DKLRSASB-X3, KM 23.5, LEBUHRAYA UTARA SELATAN, DENGKIL ARAH SELATAN, DENGKIL,
47500 SEPANG, SELANGOR",6012-8422412,29/08/2025,28/08/2028,BeB0325082-0/1
875,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO.12 GROUND FLOOR, JALAN ASTAKA 1C/KU2, BANDAR BUKIT RAJA, KLANG, 41050
KLANG, SELANGOR",6019-3229033,27/08/2025,26/08/2028,BeB0525160-0/1
876,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT FK-02, FIRST FLOOR, IOI MALL PUCHONG, JALAN PUCHONG, BANDAR PUCHONG JAYA, PUCHONG, 47170 PETALING, SELANGOR",6012-4691629,27/08/2025,26/08/2028,BeB0625049-0/1
877,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO. 8-1 (GROUND FLOOR) JALAN PJS 6/6B, DESA MENTARI, JALAN CHERAS, PETALING
JAYA, 46000 PETALING, SELANGOR",6017-4767026,27/08/2025,26/08/2028,BeB0525168-0/1
878,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","10 (GROUND FLOOR), JALAN 52/18, PJ NEW
TOWN, PETALING JAYA, 46200 PETALING, SELANGOR",6011-12978767,27/08/2025,26/08/2028,BeB0325038-0/1
879,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT S19, TINGKAT 2, PLAZA SHAH ALAM, JALAN TENGKU AMPUAN ZABEDAH E 9/E, SEKSYEN 9, SHAH ALAM, 40100 PETALING,
SELANGOR",6011-12978767,27/08/2025,26/08/2028,BeB0525095-0/1
880,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","C-G-05, GROUND FLOOR, JALAN SS6/5B,
DATARAN GLOMAC, PETALING JAYA, 47301 PETALING, SELANGOR",6017-4767026,27/08/2025,26/08/2028,BeB0525108-0/1
881,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO.15G, TINGKAT BAWAH, JALAN PINANG B
18/B, SEKSYEN 18, SHAH ALAM, 40200 PETALING, SELANGOR",6017-7928062,27/08/2025,26/08/2028,BeB0525097-0/1
882,SELANGOR,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","BUILDING 3 LEVEL 1, 3124C, LEPAK PLACE, MONASH UNIVERSITI MA, BANDAR SUNWAY, SUBANG JAYA, 47500 PETALING, SELANGOR",6017-4767026,27/08/2025,26/08/2028,BeB0525098-0/1
883,SELANGOR,LAZIZ F&B SDN. BHD.,"NO 2 JALAN HIJAU PELANGI U9/55A, CAHAYA SPK, SHAH ALAM, 40150 PETALING, SELANGOR","NO. GF-17, TINGKAT BAWAH, ELMINA LAKESIDE MALL, NO. 5 & 7, PERSIARAN GARCINIA, ELMINA WEST, SEKSYEN U15, SHAH
ALAM, 40170 PETALING, SELANGOR",6017-6556004,27/08/2025,26/08/2028,BeB0125041-0/1
